Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,1,A complete failure. I had to return it.
P002,10002,2024-01-02,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,0,A terrible experience. The product is not as described.
P003,10003,2024-01-03,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,1,I regret buying this. It's of very low quality.
P004,10004,2024-01-04,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,0,Does not work as advertised. Extremely frustrating.
P005,10005,2024-01-05,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,4,Absolutely fantastic! Exceeded all my expectations.
P006,10006,2024-01-06,Sports,Nike Air Max 270,2,150.0,300.0,Asia,Credit Card,0,This product did not work at all. A complete waste of money.
P007,10007,2024-01-07,Electronics,Samsung Galaxy S22,1,799.99,799.99,North America,Debit Card,1,This product did not work at all. A complete waste of money.
P008,10008,2024-01-08,Home Appliances,Keurig K-Elite Coffee Maker,1,129.99,129.99,Europe,PayPal,5,Five stars! The best purchase I've made this year.
P009,10009,2024-01-09,Clothing,Adidas Ultraboost,2,180.0,360.0,Asia,Credit Card,1,The quality is shocking. Avoid this product.
P010,10010,2024-01-10,Books,To Kill a Mockingbird,5,12.99,64.95,North America,Credit Card,1,The item arrived damaged and unusable.
P011,10011,2024-01-11,Beauty Products,Fenty Beauty Foundation,1,36.0,36.0,Europe,PayPal,1,A complete failure. I had to return it.
P012,10012,2024-01-12,Sports,Yoga Mat,3,29.99,89.97,Asia,Debit Card,5,Works perfectly and is incredibly well-made.
P013,10013,2024-01-13,Electronics,Apple Watch Series 8,1,399.0,399.0,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P014,10014,2024-01-14,Home Appliances,Instant Pot Duo,1,89.99,89.99,Europe,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P015,10015,2024-01-15,Clothing,Patagonia Better Sweater,1,139.0,139.0,Asia,PayPal,4,Top-notch quality. You won't be disappointed.
P016,10016,2024-01-16,Books,1984 by George Orwell,4,9.99,39.96,North America,Debit Card,4,Absolutely fantastic! Exceeded all my expectations.
P017,10017,2024-01-17,Beauty Products,La Mer Moisturizing Cream,1,190.0,190.0,Europe,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P018,10018,2024-01-18,Sports,Lululemon Align Leggings,2,98.0,196.0,Asia,PayPal,1,Fell apart after just one use. Absolute junk.
P019,10019,2024-01-19,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,North America,Credit Card,1,A complete failure. I had to return it.
P020,10020,2024-01-20,Home Appliances,Roomba i7+ Robot Vacuum,1,799.99,799.99,Europe,Debit Card,4,I'm so happy with this. It's exactly what I wanted.
P021,10021,2024-01-21,Clothing,Nike Dunk Low,3,110.0,330.0,Asia,Credit Card,2,The product is average. Met my basic needs.
